n_iter,learning_rate,batch_size,accuracy,precision,recall,f1_score
1000,0.1,32,0.9683333333333334,0,0.0,0
1000,0.1,50,0.9683333333333334,0,0.0,0
1000,0.1,50,0.0,0,0,0
1000,0.1,50,0.9683333333333334,0,0.0,0


1000,0.1,16,0.9166666666666666,0.978494623655914,0.8666666666666667,0.9191919191919192
1000,0.1,32,0.921875,0.9787234042553191,0.8761904761904762,0.9246231155778896
1000,0.1,50,0.921875,0.9787234042553191,0.8761904761904762,0.9246231155778896
1000,0.1,50,0.8547524581680179,0.8341105929380414,0.8792134831460674,0.856068376068376
2000,0.1,50,0.8556149732620321,0.8319577418289865,0.8848314606741573,0.8575803981623277
2000,0.1,32,0.8573400034500603,0.8364968364968365,0.8820224719101124,0.8586566398906169
1000,0.1,32,0.8575125064688632,0.8345466578424884,0.8855337078651685,0.8592844974446338
1000,0.01,32,0.8554424702432293,0.8354472630173565,0.8788623595505618,0.8566050650239562
1000,0.01,50,0.8561324823184405,0.8370147255689424,0.8781601123595506,0.8570938999314599
1000,0.001,50,0.7848887355528722,0.9410468319559229,0.5997191011235955,0.7325755951104438

1000,0.01,16,0.4912885975504571,0.4912885975504571,1.0,0.6588779641411221


1000,0.01,16,0.4912885975504571,0.4912885975504571,1.0,0.6588779641411221
1000,0.001,16,0.5169915473520786,0.5042553191489362,0.9985955056179775,0.6701225259189444
1000,0.0001,16,0.5087114024495428,0,0.0,0
1000,0.01,32,0.4912885975504571,0.4912885975504571,1.0,0.6588779641411221
1000,0.001,32,0.5211316198033465,0.5064935064935064,0.9859550561797753,0.6692087702573879
1000,0.0001,32,0.5087114024495428,0,0.0,0
1000,0.01,50,0.4912885975504571,0.4912885975504571,1.0,0.6588779641411221
1000,0.001,50,0.5242366741417975,0.5080271138066358,1.0,0.6737638987461556
1000,0.0001,50,0.5087114024495428,0,0.0,0
2000,0.01,16,0.4912885975504571,0.4912885975504571,1.0,0.6588779641411221
2000,0.001,16,0.4912885975504571,0.4912885975504571,1.0,0.6588779641411221
2000,0.0001,16,0.5087114024495428,0,0.0,0
2000,0.01,32,0.4912885975504571,0.4912885975504571,1.0,0.6588779641411221
2000,0.001,32,0.4912885975504571,0.4912885975504571,1.0,0.6588779641411221
2000,0.0001,32,0.5087114024495428,0,0.0,0
2000,0.01,50,0.4912885975504571,0.4912885975504571,1.0,0.6588779641411221
2000,0.001,50,0.4912885975504571,0.4912885975504571,1.0,0.6588779641411221
2000,0.0001,50,0.5087114024495428,0,0.0,0
5000,0.01,16,0.4912885975504571,0.4912885975504571,1.0,0.6588779641411221
5000,0.001,16,0.4912885975504571,0.4912885975504571,1.0,0.6588779641411221
5000,0.0001,16,0.5332068311195446,0.9551282051282052,0.05231741573033708,0.09920106524633822
5000,0.01,32,0.4912885975504571,0.4912885975504571,1.0,0.6588779641411221
5000,0.001,32,0.4912885975504571,0.4912885975504571,1.0,0.6588779641411221
5000,0.0001,32,0.5140589960324305,0.918918918918919,0.011938202247191011,0.023570190641247834
5000,0.01,50,0.4912885975504571,0.4912885975504571,1.0,0.6588779641411221
5000,0.001,50,0.4912885975504571,0.4912885975504571,1.0,0.6588779641411221
5000,0.0001,50,0.5112989477315854,1.0,0.0052668539325842695,0.010478519035976248
10000,0.01,16,0.4912885975504571,0.4912885975504571,1.0,0.6588779641411221
10000,0.001,16,0.4912885975504571,0.4912885975504571,1.0,0.6588779641411221
10000,0.0001,16,0.5421769880972918,0.5176878191101386,0.9968398876404494,0.6814690350456073
10000,0.01,32,0.4912885975504571,0.4912885975504571,1.0,0.6588779641411221
10000,0.001,32,0.4912885975504571,0.4912885975504571,1.0,0.6588779641411221
10000,0.0001,32,0.5526996722442643,0.5236680898459254,0.9905196629213483,0.6851244687310262
10000,0.01,50,0.4912885975504571,0.4912885975504571,1.0,0.6588779641411221
10000,0.001,50,0.4912885975504571,0.4912885975504571,1.0,0.6588779641411221
10000,0.0001,50,0.5326893220631361,0.5126940639269406,0.9856039325842697,0.6745164003364171

1000,0.01,16,0.8583750215628774,0.8381715048381715,0.8820224719101124,0.8595380667236955
1000,0.001,16,0.7854062446092807,0.9396929824561403,0.6018258426966292,0.7337328767123288
1000,0.0001,16,0.5087114024495428,0,0.0,0
1000,0.01,32,0.8606175608073141,0.8409090909090909,0.8834269662921348,0.8616438356164384
1000,0.001,32,0.7619458340520959,0.9437726723095526,0.5481039325842697,0.6934695690804087
1000,0.0001,32,0.5087114024495428,0,0.0,0
1000,0.01,50,0.8594100396756943,0.8414511252939201,0.879564606741573,0.8600858369098712
1000,0.001,50,0.7667759185785751,0.9410377358490566,0.5603932584269663,0.7024647887323943
1000,0.0001,50,0.5087114024495428,0,0.0,0
2000,0.01,16,0.8580300155252717,0.8369384359400999,0.8830758426966292,0.8593883478558004
2000,0.001,16,0.8642401242021736,0.8679043198857551,0.8535814606741573,0.8606833067799611
2000,0.0001,16,0.5087114024495428,0,0.0,0
2000,0.01,32,0.8573400034500603,0.8431239388794567,0.8718398876404494,0.8572414983600898
2000,0.001,32,0.8609625668449198,0.8659498207885304,0.848314606741573,0.8570415040794609
2000,0.0001,32,0.5087114024495428,0,0.0,0
2000,0.01,50,0.8566499913748491,0.8389915966386554,0.8764044943820225,0.8572900566718187
2000,0.001,50,0.8585475245816802,0.8637015781922525,0.8455056179775281,0.8545067423704755
2000,0.0001,50,0.5087114024495428,0,0.0,0
5000,0.01,16,0.8552699672244264,0.8376470588235294,0.875,0.8559161944015112
