n_iter,learning_rate,batch_size,precision,recall,f1_score
10000,0.1,50,0.05355064027939464,0.968421052631579,0.10148924434638719
10000,0.1,50,0.05278422273781903,0.9578947368421052,0.10005497526113248


1000,0.1,16,0.05995864920744314,0.9157894736842105,0.11254851228978009
1000,0.01,16,0.1073345259391771,0.631578947368421,0.18348623853211007
1000,0.001,16,0.06290471785383904,0.7157894736842105,0.11564625850340136
1000,0.1,32,0.6129032258064516,0.2,0.30158730158730157
1000,0.01,32,0.09491059147180192,0.7263157894736842,0.1678832116788321
1000,0.001,32,0.04331013147718484,0.5894736842105263,0.08069164265129683
1000,0.1,50,0.07735849056603773,0.8631578947368421,0.14199134199134197
1000,0.01,50,0.12,0.7263157894736842,0.20597014925373133
1000,0.001,50,0.04238754325259515,0.5157894736842106,0.07833733013589128
2000,0.1,16,0.0748663101604278,0.8842105263157894,0.13804437140509448
2000,0.01,16,0.1471861471861472,0.7157894736842105,0.24416517055655299
2000,0.001,16,0.03026227303295225,0.47368421052631576,0.056890012642225034
2000,0.1,32,0.1614457831325301,0.7052631578947368,0.26274509803921564
2000,0.01,32,0.13555992141453832,0.7263157894736842,0.228476821192053
2000,0.001,32,0.09077809798270893,0.6631578947368421,0.15969581749049427
2000,0.1,50,0.08728448275862069,0.8526315789473684,0.15835777126099707
2000,0.01,50,0.1263537906137184,0.7368421052631579,0.21571648690292755
2000,0.001,50,0.08641975308641975,0.6631578947368421,0.1529126213592233
5000,0.1,16,0.1670886075949367,0.6947368421052632,0.2693877551020408
5000,0.01,16,0.06910569105691057,0.8947368421052632,0.12830188679245283
5000,0.001,16,0.09845288326300984,0.7368421052631579,0.17369727047146402
5000,0.1,32,0.06386066763425254,0.9263157894736842,0.11948404616429055
5000,0.01,32,0.12547528517110265,0.6947368421052632,0.21256038647342995
5000,0.001,32,0.09983633387888707,0.6421052631578947,0.1728045325779037
5000,0.1,50,0.4864864864864865,0.37894736842105264,0.42603550295857995
5000,0.01,50,0.14435146443514643,0.7263157894736842,0.2408376963350785
5000,0.001,50,0.09090909090909091,0.7263157894736842,0.16159250585480095
10000,0.1,16,0.1972318339100346,0.6,0.296875
10000,0.01,16,0.048086866597724924,0.9789473684210527,0.0916707737801873
10000,0.001,16,0.1364562118126273,0.7052631578947368,0.22866894197952217
10000,0.1,32,0.14344262295081966,0.7368421052631579,0.24013722126929674
10000,0.01,32,0.08762322015334063,0.8421052631578947,0.15873015873015872
10000,0.001,32,0.12159709618874773,0.7052631578947368,0.20743034055727555
10000,0.1,50,0.47126436781609193,0.43157894736842106,0.4505494505494505
10000,0.01,50,0.05227272727272727,0.968421052631579,0.09919137466307276
10000,0.001,50,0.1128747795414462,0.6736842105263158,0.1933534743202417


1000,0.1,16,0.3087248322147651,0.4842105263157895,0.3770491803278689
1000,0.01,16,0.11441307578008915,0.8105263157894737,0.20052083333333334
1000,0.001,16,0.03211169284467714,0.968421052631579,0.062162162162162166
1000,0.1,32,0.05874222529371113,0.8947368421052632,0.11024643320363166
1000,0.01,32,0.10675381263616558,0.5157894736842106,0.1768953068592058
1000,0.001,32,0.04935459377372817,0.6842105263157895,0.09206798866855523
1000,0.1,50,0.23394495412844038,0.5368421052631579,0.32587859424920124
1000,0.01,50,0.10927152317880795,0.6947368421052632,0.1888412017167382
1000,0.001,50,0.047867711053089644,0.5789473684210527,0.08842443729903537
2000,0.1,16,0.09879839786381843,0.7789473684210526,0.17535545023696683
2000,0.01,16,0.10725075528700906,0.7473684210526316,0.18758256274768823
2000,0.001,16,0.07876230661040788,0.5894736842105263,0.13895781637717125
2000,0.1,32,0.4065934065934066,0.3894736842105263,0.39784946236559143
2000,0.01,32,0.09366391184573003,0.7157894736842105,0.1656516443361754
2000,0.001,32,0.05841325196163906,0.7052631578947368,0.10789049919484703
2000,0.1,50,0.3237410071942446,0.47368421052631576,0.38461538461538464
2000,0.01,50,0.1596244131455399,0.7157894736842105,0.2610364683301344
2000,0.001,50,0.05443548387096774,0.5684210526315789,0.09935602575896964
5000,0.1,16,0.18461538461538463,0.631578947368421,0.2857142857142857
5000,0.01,16,0.1348314606741573,0.7578947368421053,0.2289348171701113
5000,0.001,16,0.07922077922077922,0.6421052631578947,0.14104046242774565
5000,0.1,32,0.10632183908045977,0.7789473684210526,0.1871049304677623
5000,0.01,32,0.15869565217391304,0.7684210526315789,0.26306306306306304
5000,0.001,32,0.09949409780775717,0.6210526315789474,0.17151162790697674
5000,0.1,50,0.0620384047267356,0.8842105263157894,0.11594202898550726
5000,0.01,50,0.14688128772635814,0.7684210526315789,0.2466216216216216
5000,0.001,50,0.09567901234567901,0.6526315789473685,0.16689098250336473
10000,0.1,16,0.1111111111111111,0.7894736842105263,0.1948051948051948
10000,0.01,16,0.1775,0.7473684210526316,0.28686868686868683
10000,0.001,16,0.1396761133603239,0.7263157894736842,0.23429541595925296
10000,0.1,32,0.13655462184873948,0.6842105263157895,0.2276707530647986
10000,0.01,32,0.1731266149870801,0.7052631578947368,0.27800829875518673
10000,0.001,32,0.13108614232209737,0.7368421052631579,0.22257551669316372
10000,0.1,50,0.15550239234449761,0.6842105263157895,0.253411306042885
10000,0.01,50,0.7727272727272727,0.17894736842105263,0.2905982905982906
10000,0.001,50,0.11352253756260434,0.7157894736842105,0.19596541786743515
